,Station number,Station name,lon,lat
317,31705,Benning Branch Library,-76.947974,38.8939997
318,31706,Fairfax Village,-76.952103,38.8655897
319,32047,Rockville Metro West,-77.1468683,39.0843868
320,32017,Monroe St & Monroe Pl,-77.1491643,39.0836808
321,31225,C & O Canal & Wisconsin Ave NW,-77.06269,38.9037497
322,31063,S George Mason Dr & Four Mile Run,-77.1050243,38.8522558
323,32037,King Farm Blvd & Pleasant Dr,-77.1714893,39.1146958
324,32406,Fleet St & Waterfront St,-77.0160613,38.7826408
325,31812,16th & Q St SE / Anacostia HS,-76.9823613,38.8707028
326,31701,Branch & Pennsylvania Ave SE,-76.9599,38.8691997
327,31654,King Greenleaf Rec Center,-77.0124453,38.8762188
328,32006,13th St & Eastern Ave,-77.0294193,38.9870078
329,31903,Royal & Wilkes St,-77.0447023,38.7992748
330,32080,Fishers Ln & Rock Creek Mill Rd,-77.1134563,39.0629078
331,32016,Fallsgrove Dr & W Montgomery Ave,-77.1880164,39.0993838
332,31820,Anacostia Park,-76.9834023,38.8733578
333,32003,Montgomery Ave & Waverly St ,-77.0922123,38.9838458
334,32018,Needwood Rd & Eagles Head Ct,-77.1574123,39.1235208
335,31033,Barcroft Community Center,-77.1009913,38.8503448
336,31655,New Jersey Ave & F St NW,-77.0116183,38.8971158
337,32004,Fallsgrove Blvd & Fallsgrove Dr,-77.1926744,39.0963198
338,31800,Alabama & MLK Ave SE,-76.9993783,38.8432378
339,32039,Old Georgetown Rd & Southwick St,-77.1096493,38.9996418
340,32043,Veterans Pl & Pershing Dr ,-77.0238963,38.9974528
341,31813,Alabama Ave & Stanton Rd SE / Shops at Park Village,-76.9818523,38.8462778
342,31416,14th & Luzon St NW,-77.0335113,38.9694968
343,32218,Temporary Rd & Old Reston Ave,-77.3534164,38.9600918
344,32215,Wiehle Ave & Reston Station Blvd,-77.3368024,38.9492078
345,32044,Rockville Metro East,-77.1458053,39.0854018
346,32220,Sunset Hills Rd & Isaac Newton Square,-77.3403794,38.9514508
347,31413,3rd & Underwood St NW,-77.0162603,38.9688418
348,31075,Rolfe St & 9th St S,-77.0761333,38.8664788
349,32209,North Shore & Cameron Crescent Dr/Crescent Apartments,-77.3386884,38.9700538
350,32028,Norfolk & Rugby Ave,-77.1002413,38.9906468
351,32213,Sunset Hills & Old Reston Ave,-77.3516514,38.9550868
352,32008,Cordell & Norfolk Ave,-77.0980313,38.9895478
353,32224,Town Center Pkwy & Sunset Hills Rd,-77.3630964,38.9551788
354,32020,Crabbs Branch Way & Calhoun Pl,-77.1520743,39.1077168
355,32032,Fleet St & Ritchie Pkwy,-77.1413803,39.0763388
356,32066,Windham Ln & Amherst Ave,-77.0473523,39.0320368
357,32217,Sunset Hills Rd & Discovery Square,-77.3576134,38.9553478
358,32031,Taft St & E Gude Dr,-77.1329563,39.0941108
359,32403,Baltimore Ave & Jefferson St,-76.9401353,38.9554878
360,32052,Key West Ave & Siesta Key Way,-77.1947764,39.1053028
361,32076,Citadel Ave & McGrath Blvd,-77.1093323,39.0490078
362,32063,Amherst Ave & Elkins St,-77.0477903,39.0448948
363,31710,Nannie Helen Burroughs Ave & 49th St NE,-76.9318643,38.8985438
364,32200,Spring Hill Metro,-77.2406564,38.9292688
365,31711,Deanwood Rec Center,-76.9331013,38.9084808
